Character Number	State Number	SimJ Partial Recall
195	0	0.8
195	1	1.0
196	0	0.43109540636042404
196	1	0.9468085106382979
196	2	1.0
197	0	0.24113475177304963
197	1	0.24113475177304963
198	0	0.4774774774774775
198	1	0.4774774774774775
199	0	1.0
199	1	0.8333333333333334
200	0	0.5922330097087378
200	1	0.5922330097087378
201	0	0.408
201	1	0.408
201	2	0.4722222222222222
202	0	1.0
202	1	1.0
203	0	0.6666666666666666
203	1	1.0
