Character Number	State Number	SimJ Partial Recall
67	0	0.0009157328817030662
67	1	0.0009157328817030662
17	1	0.0023094688221709007
17	0	0.0023094688221709007
176	1	0.0
176	0	0.0
37	1	0.1875
37	0	0.04411764705882353
36	0	0.0
36	1	0.2525323359825464
79	1	0.0
79	0	0.0
40	1	0.2193877551020408
40	2	0.001085694086754532
40	0	0.001085694086754532
143	1	0.0
143	0	0.0
10	0	0.0
10	1	0.025835866261398176
10	2	0.0
47	0	0.002336448598130841
47	1	0.041666666666666664
27	0	0.022629310344827586
27	1	0.022629310344827586
125	2	0.0
125	1	0.07687564234326824
125	0	0.0
45	1	0.14285714285714285
45	0	0.0
99	1	0.49166666666666664
99	0	0.49166666666666664
128	0	0.0
128	1	0.0
42	1	0.0
42	2	0.0
42	0	0.0
175	1	0.0625
175	0	0.0625
101	1	0.0
101	0	0.0
46	1	0.02459016393442623
46	0	0.02459016393442623
184	1	0.14689265536723164
184	0	0.14689265536723164
184	2	0.14689265536723164
184	3	0.0
146	1	0.0020906504772206
146	0	0.000959670969953159
148	2	0.0
148	0	0.0
148	1	0.0
162	1	0.5
162	0	0.5
104	1	0.39285714285714285
104	0	1.0
152	0	0.0
152	1	0.0
196	0	0.4184039985556548
196	2	0.3
196	1	0.0
59	1	0.0
59	0	0.0
89	1	0.0
89	0	0.0
106	1	0.041666666666666664
106	0	0.0
80	1	1.0
80	0	1.0
102	2	0.6666666666666666
102	1	0.008928571428571428
102	0	0.10526315789473684
96	1	1.0
96	0	1.0
49	1	0.0
49	0	0.0
8	1	0.0
8	0	0.0
14	0	8.53322410806475e-06
14	1	0.22580645161290322
133	1	0.0
133	0	0.0
118	1	1.0
118	0	1.0
87	0	0.0
87	1	0.0
177	0	1.0
177	1	1.0
136	1	0.5752688172043011
136	0	0.5752688172043011
71	2	0.001326846528084918
71	1	0.0010319917440660476
71	0	1.0
66	1	0.0
66	0	0.0
91	1	0.10884353741496598
91	0	3.652567755131858e-05
130	0	0.0
130	1	0.0
167	1	0.0
167	0	0.0
4	1	0.0
4	0	0.0
64	1	0.002290845780262073
64	0	0.0255885363357216
88	1	0.5
88	0	1.0
198	1	0.09769161810847155
198	0	0.023060029282576867
119	1	0.0
119	0	0.0
129	1	0.11586214575987455
129	0	0.04991816693944354
61	0	0.9468085106382979
61	1	0.9468085106382979
181	2	0.14112294324096913
181	1	0.0042060683413587055
181	0	0.04859001858791275
12	1	0.10256410256410256
12	0	0.0
85	1	0.0040650406504065045
85	2	1.0
85	0	0.008130081300813009
149	1	1.0
149	0	1.0
11	1	0.0
11	0	0.0
163	0	1.0
163	1	1.0
35	0	0.0
35	1	0.0
30	1	0.000241609397571298
30	0	0.0
131	1	0.0
131	0	0.0
33	4	1.0
33	1	0.2696078431372549
33	2	0.0
33	3	1.0
33	0	0.0
127	2	0.0456953642384106
127	0	0.0913907284768212
127	1	0.45098039215686275
182	0	0.0
182	1	0.0
182	2	0.0
113	1	0.0
113	0	0.0
158	1	0.1
158	0	0.0
183	1	0.0
183	0	0.0
179	1	0.0
179	0	0.0
5	1	0.17391304347826086
5	2	0.0
5	0	0.0
65	2	0.0023337806187940097
65	0	0.0011961722488038277
65	1	0.0029850746268656717
65	3	0.0
98	2	0.0970464135021097
98	0	0.0
98	1	0.0
22	0	0.0
22	1	0.0
7	1	0.0
7	0	0.0
112	0	0.0
112	1	0.0
58	1	0.11000000000000001
58	0	0.0
141	1	0.004634544353883541
141	0	0.0035616147711924487
95	1	0.0
95	0	0.0
161	1	0.0
161	0	0.0
190	0	0.0
190	1	0.0
190	2	0.0
73	1	0.03165080900929958
73	0	0.04328932893289329
94	0	0.0
94	2	0.0
94	1	0.0
76	0	0.0
76	1	0.0
107	1	0.1891891891891892
107	0	0.1891891891891892
75	1	0.7105263157894737
75	0	0.6230769230769231
6	2	0.17514730029943013
6	0	0.3833802816901408
6	3	0.0
6	4	0.0
6	1	0.19418814296319864
78	1	0.5
78	0	0.5
31	1	0.0
31	0	0.0
147	1	0.9310344827586207
147	0	0.9310344827586207
105	1	0.0
105	0	0.0
69	1	0.0
69	0	0.0
178	0	0.0
178	1	0.0
115	3	0.0
115	2	0.0
115	1	0.0
115	0	0.0
170	2	1.0
170	0	0.0
170	1	1.0
51	0	0.0
51	2	0.0
51	1	0.0
160	1	0.0
160	0	0.0
