Character Number	State Number	SimJ Partial Precision
43	2	0.0019752199676782187
44	0	0.2673942701227831
44	1	0.358187134502924
45	0	0.12222222222222222
45	1	0.13924050632911392
46	0	0.07607807030772527
46	1	0.07607807030772527
47	0	0.6666666666666666
47	1	0.5347254447022428
48	0	0.10153256704980843
48	1	0.6980055272533546
48	2	0.5645539906103286
49	0	0.010752688172043012
49	1	0.010752688172043012
50	0	0.0
50	1	0.0
51	0	0.46153846153846156
51	1	0.46153846153846156
51	2	1.0
52	0	0.2
52	1	0.2
53	0	0.75
53	1	0.375
54	0	0.007736943907156673
54	1	0.007736943907156673
55	0	0.0035211267605633804
55	1	0.0034906671865100637
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.3674832962138085
57	1	0.2979683972911964
58	0	0.06857142857142857
58	1	0.18062717770034842
59	0	0.4264264264264264
59	1	1.0
60	0	0.39743589743589747
60	1	0.46153846153846156
61	0	1.0
61	1	1.0
62	0	0.19469026548672566
62	1	0.2558139534883721
63	0	0.5543478260869565
63	1	0.3534070968999805
64	0	0.0033083370092633437
64	1	0.07642799678197908
65	0	0.0015877539388511176
65	1	0.0029746014796735564
65	2	0.002255654346322187
65	3	0.0
66	0	0.16455696202531644
66	1	0.16455696202531644
67	0	0.6666666666666666
67	1	1.0
68	0	0.3684210526315789
68	1	0.3684210526315789
69	0	0.11811023622047244
69	1	0.11811023622047244
70	0	0.9852941176470589
70	1	0.04491199676309933
70	2	0.07623075254825418
70	3	0.13837535014005603
71	0	0.13333333333333333
71	1	0.00042065926698452106
71	2	0.00113277804085037
72	0	0.05177993527508091
72	1	0.04092071611253197
73	0	0.09326424870466321
73	1	0.0703125
74	0	0.631578947368421
74	1	0.631578947368421
75	0	0.9647887323943662
75	1	0.9647887323943662
76	0	0.04016327348150903
76	1	0.04016327348150903
77	0	0.007246376811594203
77	1	0.5909090909090909
78	0	1.0
78	1	1.0
79	0	0.00256797583081571
79	1	0.00256797583081571
80	0	1.0
80	1	1.0
81	0	0.9555555555555556
81	1	0.9555555555555556
82	0	0.6736328805294324
82	1	0.6736328805294322
82	2	0.625
83	0	0.6361399671951886
83	1	0.6361399671951886
84	0	1.0
84	1	1.0
85	0	0.9184027777777778
85	2	0.9583333333333334
85	1	0.841869212962963
86	0	0.018518518518518517
86	1	0.018518518518518517
87	0	0.2558139534883721
87	1	0.2558139534883721
88	0	1.0
88	1	1.0
89	0	0.9279279279279279
89	1	0.9279279279279279
90	0	0.000962800875273523
90	1	0.000962800875273523
91	0	0.16688396349413298
91	1	1.0
92	0	0.5571658615136875
92	1	0.49535999370846606
93	0	1.0
93	1	1.0
94	0	0.9775280898876404
94	1	0.9775280898876404
94	2	1.0
95	0	0.14285714285714285
95	1	0.14285714285714285
96	0	1.0
96	1	1.0
97	0	0.010432190760059613
97	1	0.010432190760059613
98	0	0.7666666666666667
98	2	0.5696824596774194
98	1	0.6609195402298851
99	0	0.4166666666666667
99	1	0.4166666666666667
100	0	0.2543859649122807
100	1	0.2543859649122807
101	0	0.07834101382488479
101	1	0.7448979591836735
102	0	0.25677966101694916
102	1	1.0
102	2	1.0
103	0	0.002446043165467626
103	1	0.002041551579200192
104	0	1.0
104	1	0.5634920634920635
105	0	0.3177966101694915
105	1	0.7142857142857143
106	0	0.04860500666717975
106	1	0.04837712164113457
107	0	0.34615384615384615
107	1	0.2339688041594454
108	0	0.0016861398949619753
108	1	0.0016861398949619753
109	0	0.7045454545454546
109	1	0.7045454545454546
110	0	0.9310344827586207
110	1	0.9310344827586207
110	2	0.9310344827586207
111	0	0.15042630937880633
111	1	0.15042630937880633
112	0	0.2955352421243484
112	1	0.35108777194298574
113	0	0.039603960396039604
113	1	0.039603960396039604
114	0	0.20253164556962025
114	1	0.1801125703564728
115	0	0.24913010551308426
115	1	0.5046153846153846
115	2	0.3795944500731735
115	3	0.0
116	0	0.13810741687979539
116	1	0.15845768194983145
117	0	0.31862224759221247
117	1	0.5570037607542115
118	0	1.0
118	1	1.0
119	0	1.0
119	1	1.0
120	0	0.5939849624060151
120	1	0.5939849624060151
121	0	0.08695652173913043
121	1	0.09523809523809523
122	0	0.008118081180811807
122	1	0.008118081180811807
123	0	0.5555555555555556
