Character Number	State Number	SimJ Partial Precision
71	2	0.0005171960546320786
72	0	1.0
72	1	1.0
73	0	0.6666666666666666
73	1	0.875
74	0	0.9767441860465116
74	1	0.9767441860465116
75	0	0.592436974789916
75	1	0.9852941176470589
76	0	0.07206500511537386
76	1	0.07206500511537386
77	0	1.0
77	1	1.0
78	0	0.5754716981132075
78	1	0.5754716981132075
79	0	1.0
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.9555555555555556
81	1	0.9555555555555556
82	0	0.342650275922004
82	1	0.5584368020980597
82	2	0.501675041876047
83	0	0.7712264150943396
83	1	0.7712264150943396
84	0	1.0
84	1	1.0
85	0	1.0
85	2	1.0
85	1	0.6111111111111112
86	0	0.10666666666666667
86	1	0.10666666666666667
87	0	1.0
87	1	1.0
88	0	0.9848484848484849
88	1	0.9848484848484849
89	0	1.0
89	1	1.0
90	0	1.0
90	1	1.0
91	0	0.16688396349413298
91	1	1.0
92	0	1.0
92	1	0.6717171717171717
93	0	0.47692307692307695
93	1	0.47692307692307695
94	0	0.0
94	1	0.0
94	2	1.0
95	0	1.0
95	1	1.0
96	0	1.0
96	1	1.0
97	0	0.625
97	1	0.625
98	0	0.7666666666666667
98	2	0.09181209905497689
98	1	0.7666666666666667
99	0	1.0
99	1	1.0
100	0	0.9444444444444444
100	1	0.9444444444444444
101	0	0.8
101	1	0.05975395430579965
102	0	0.0
102	1	0.0
102	2	1.0
103	0	0.6666666666666666
103	1	0.5714285714285714
104	0	1.0
104	1	1.0
105	0	0.0028246212821763034
105	1	0.15231187669990934
106	0	0.06455761316872428
106	1	0.3605162541789332
107	0	0.3783783783783784
107	1	0.3783783783783784
108	0	0.6428571428571428
108	1	0.6428571428571428
109	0	1.0
109	1	1.0
110	0	0.9310344827586207
110	1	0.9310344827586207
110	2	0.9310344827586207
111	0	0.6711327649208283
111	1	0.6711327649208283
112	0	0.5367132867132867
112	1	0.15821678321678323
113	0	0.5603448275862069
113	1	0.16774193548387098
114	0	1.0
114	1	1.0
115	0	0.5178811169681422
115	1	0.5922191607129794
115	2	0.46679584065462215
115	3	0.18106089620834928
116	0	1.0
116	1	0.8333333333333333
117	0	0.6864567716141929
117	1	0.6864567716141929
118	0	1.0
118	1	1.0
119	0	1.0
119	1	1.0
120	0	0.7657657657657657
120	1	0.7657657657657657
121	0	0.08695652173913043
121	1	0.09523809523809523
122	0	0.58
122	1	0.58
123	0	0.5555555555555556
123	1	1.0
124	0	1.0
124	1	1.0
125	0	0.0
125	2	0.0
125	1	0.0
126	0	1.0
126	1	1.0
127	0	0.614519427402863
127	1	0.3434020188132694
127	2	1.0
128	0	1.0
128	1	1.0
129	0	0.2981084429197637
129	1	0.4470752670226969
130	0	0.02531645569620253
130	1	0.05044160316296273
131	0	0.24044139460143332
131	1	0.22763722203517486
132	0	0.41216216216216217
132	1	0.41216216216216217
133	0	0.7703383729301656
133	1	0.7270440251572327
134	0	0.9701492537313433
134	1	0.9701492537313433
134	2	0.9701492537313433
135	0	0.42857142857142855
135	1	0.42857142857142855
136	0	1.0
136	1	1.0
137	0	0.0
137	1	0.0
137	2	0.0
138	0	0.7333333333333333
138	1	0.7333333333333333
139	0	0.27450980392156865
139	1	0.27450980392156865
140	0	0.3218390804597701
140	1	0.2968197879858657
141	0	0.5714285714285714
141	1	0.6666666666666666
142	0	0.5098039215686274
142	1	1.0
142	2	0.5098039215686274
143	0	0.7636363636363637
143	1	0.7636363636363637
144	0	0.12436548223350254
144	1	0.12436548223350254
145	0	1.0
145	1	1.0
145	2	1.0
145	3	1.0
146	0	0.0036676951737788905
146	1	0.0036676951737788905
147	0	1.0
147	1	1.0
148	0	0.75
148	1	1.0
148	2	0.125
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	1.0
151	1	1.0
152	0	0.08898247978436657
152	1	0.08898247978436657
153	0	0.9
153	1	0.9
154	0	0.9710144927536232
154	1	0.9710144927536232
155	0	0.5
155	1	1.0
156	0	1.0
156	1	1.0
157	0	1.0
157	1	1.0
158	0	0.9473684210526315
158	1	0.9473684210526315
159	0	0.0015049938432070051
159	1	0.001791822772438508
160	0	0.5833333333333334
160	1	1.0
161	0	1.0
161	1	1.0
162	0	1.0
162	1	1.0
163	0	0.8
163	1	1.0
164	0	1.0
164	1	1.0
165	0	0.47316168045360124
