Character Number	State Number	SimJ Partial Precision
181	0	0.23280755556808855
181	1	0.008412136682717411
181	2	0.2810077519379845
182	0	0.0
182	1	0.0
182	2	0.0
183	0	0.0
183	1	0.0
184	0	0.4406779661016949
184	1	0.4406779661016949
184	2	0.4406779661016949
184	3	0.0
185	0	0.0
185	1	0.001955967976710335
186	0	0.4936441680627727
186	1	0.15384615384615385
186	2	0.06666666666666667
186	3	0.43104334757158674
187	0	0.0
187	1	0.0
188	0	1.0
188	1	0.42857142857142855
188	2	0.42857142857142855
189	0	0.0010613457864572277
189	1	0.048
190	0	0.0
190	1	0.0
190	2	0.0
191	0	0.0
191	1	0.0
192	0	0.0
192	1	0.0
193	0	0.0013759272553242401
193	1	0.0011478764286070768
194	0	0.5573770491803278
194	1	0.0
195	0	0.7222222222222222
195	1	1.0
196	0	0.2759015768451984
196	1	0.0
196	2	0.6
197	0	0.0
197	1	0.7719298245614035
198	0	0.09224011713030747
198	1	0.13043478260869565
199	0	0.0
199	1	0.3625
200	0	0.0
200	1	0.0
201	0	0.0
201	1	0.375
201	2	1.0
202	0	0.0
202	1	0.0
203	0	0.0
203	1	0.0
