Character Number	State Number	SimJ Partial Precision
40	2	1.0
41	0	0.1786945752998883
41	1	0.16937216519455717
42	0	1.0
42	1	0.5555555555555556
42	2	1.0
43	0	0.17095588235294118
43	1	0.45045045045045046
43	2	0.20689655172413793
44	0	0.08365758754863813
44	1	0.23915461624026696
45	0	0.060810810810810814
45	1	0.06569343065693431
46	0	0.037195797866390046
46	1	0.037195797866390046
47	0	0.0020182370820668693
47	1	0.015012822675948959
48	0	0.25432525951557095
48	1	0.7987228560456848
48	2	0.7012642302617448
49	0	0.010592613799026625
49	1	0.010592613799026625
50	0	0.01639344262295082
50	1	0.01639344262295082
51	0	0.02042450941129355
51	1	0.02042450941129355
51	2	0.9622641509433962
52	0	0.2
52	1	0.2
53	0	1.0
53	1	1.0
54	0	0.01066925315227934
54	1	0.01066925315227934
55	0	0.003474471468111419
55	1	0.0035004430382228283
55	2	0.9672131147540983
56	0	1.0
56	1	1.0
57	0	0.3741496598639456
57	1	0.25287356321839083
58	0	0.1509433962264151
58	1	0.09326529241925736
59	0	0.4264264264264264
59	1	1.0
60	0	0.6071428571428571
60	1	0.38461538461538464
61	0	1.0
61	1	1.0
62	0	0.1774193548387097
62	1	0.1774193548387097
63	0	1.0
63	1	0.6111111111111112
64	0	0.14925373134328357
64	1	0.006855889208830386
65	0	0.8
65	1	0.7360774818401937
65	2	0.5787835353052744
65	3	0.0
66	0	0.0007375991148810622
66	1	0.0006158583525789069
67	0	0.5902569123257149
67	1	0.8655445544554455
68	0	0.8227848101265823
68	1	0.8227848101265823
69	0	0.21428571428571427
69	1	0.21428571428571427
70	0	0.25263157894736843
70	1	0.47058823529411764
70	2	1.0
70	3	0.000859168038948951
71	0	1.0
71	1	0.003000398492041162
71	2	0.23372741764080765
72	0	0.927710843373494
72	1	0.927710843373494
73	0	0.6666666666666666
73	1	0.875
74	0	1.0
74	1	1.0
75	0	1.0
75	1	1.0
76	0	0.12586520947176685
76	1	0.06832452081956378
77	0	0.007246376811594203
77	1	1.0
78	0	1.0
78	1	1.0
79	0	0.25
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.9555555555555556
81	1	0.9555555555555556
82	0	0.37850617487641086
82	1	0.14256066918021637
82	2	0.501675041876047
83	0	0.5549745618993782
83	1	0.5549745618993782
84	0	1.0
84	1	1.0
85	0	0.9583333333333334
85	2	1.0
85	1	0.5871478873239437
86	0	0.14119359534206696
86	1	0.14119359534206696
87	0	0.208955223880597
87	1	0.208955223880597
88	0	1.0
88	1	1.0
89	0	0.9279279279279279
89	1	0.9279279279279279
90	0	0.1717755928282244
90	1	0.1717755928282244
91	0	0.16688396349413298
91	1	1.0
92	0	0.6959646213377556
92	1	0.24079021828875716
93	0	0.47692307692307695
93	1	0.47692307692307695
94	0	0.7840909090909091
94	1	0.7840909090909091
94	2	1.0
95	0	0.30927835051546393
95	1	0.30927835051546393
96	0	1.0
96	1	1.0
97	0	0.46408839779005523
97	1	0.46408839779005523
98	0	0.8
98	2	0.638095238095238
98	1	0.1951219512195122
99	0	0.38461538461538464
99	1	0.38461538461538464
100	0	0.012311901504787962
100	1	0.017786561264822136
101	0	0.08029197080291971
101	1	0.20754716981132076
102	0	0.37791120815138285
102	1	1.0
102	2	1.0
103	0	0.002446043165467626
103	1	0.002041551579200192
104	0	1.0
